value_w,momentum_w,quality_w,growth_w,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value
0.3,0.25,0.2,0.25,202.35072973450005,4.48413213471548,10.632523934062105,0.21612953091109013,0.5111940298507462,1.5770085100126163,1608,10167536486.725002
0.25,0.35,0.15,0.25,260.07342277676156,4.940943045451645,10.630951884176392,0.38627986209087967,0.46658206429780036,1.514705602419292,2364,13053671138.83808
0.25,0.45,0.05,0.25,259.86523609709434,4.939425683385639,10.284108175078398,0.23617066750232,0.4408921933085502,1.4590207117083898,2690,13043261804.854717
0.4,0.25,0.15,0.2,152.22453746281957,4.008980573899552,10.270841077079973,0.16480456815874242,0.498546511627907,1.8373870363356,1376,7661226873.140979
0.3,0.3,0.2,0.2,166.67576327522212,4.1556418036618625,10.104411385701983,0.1599089386231874,0.50293542074364,1.6651127128419272,1533,8383788163.7611065
0.4,0.35,0.05,0.2,260.58941402011436,4.944700288927387,10.015005853976804,0.3846547397963888,0.4638704318936877,1.6198087226633542,2408,13079470701.005718
0.2,0.5,0.05,0.25,224.18703023093747,4.6662033985936455,9.906002628761437,0.23484148657928836,0.44575211474806914,1.5455024635444747,2719,11259351511.546873
0.05,0.5,0.25,0.2,189.2926341312065,4.368815106590494,9.85308670873006,0.1613825270293266,0.4576271186440678,1.5267017076526708,2419,9514631706.560326
0.4,0.2,0.15,0.25,148.20368558865962,3.966510909008698,9.731869049436098,0.16958177305713296,0.5054869684499315,1.6946983911406137,1458,7460184279.432981
0.35,0.25,0.15,0.25,163.96209537801204,4.128776040037895,9.606205123801859,0.2400564418723645,0.4840137727496311,1.659794873522682,2033,8248104768.900602
0.35,0.3,0.1,0.25,196.93438124306596,4.436929321371586,9.553605057146719,0.35363321638126327,0.4609141392567279,1.6819514694320206,2341,9896719062.153297
0.0,0.45,0.3,0.25,144.62133963156825,3.928012476181399,9.54291269607459,0.20955059645077506,0.45915246832678025,1.6571340393509488,2289,7281066981.578412
0.1,0.5,0.15,0.25,200.86574344066207,4.471276560205583,9.508686066989348,0.2806410971817948,0.4428730926684034,1.4465386994080291,2687,10093287172.033104
