value_w,momentum_w,quality_w,growth_w,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value
0.05,0.45,0.2,0.3,337.6305140553245,5.45693852188836,11.989225638194785,0.17629241707317592,0.46168294515401953,1.494588228473185,2662,16931525702.766226
0.1,0.4,0.2,0.3,312.9178124353248,5.302149754464538,11.852222728513523,0.19344777986968464,0.4645760743321719,1.5372027266352608,2583,15695890621.76624
0.2,0.35,0.15,0.3,303.6906823869138,5.242232108180732,11.639846469140544,0.19713539817090317,0.46712662337662336,1.5787789931395066,2464,15234534119.345692
0.2,0.55,0.0,0.25,369.76227156071843,5.647110180445736,11.40736087039807,0.23200848513082842,0.4419949403686303,1.5437401871121206,2767,18538113578.035923
0.3,0.2,0.2,0.3,228.1011027623155,4.697554652020726,11.206013931548112,0.17583165229451686,0.49016100178890876,1.7150090497114905,1677,11455055138.115774
0.0,0.55,0.15,0.3,290.8004859982755,5.156426296491541,10.885216953569122,0.20760463148065975,0.4426229508196721,1.5594042566876039,2745,14590024299.913776
0.05,0.4,0.25,0.3,216.5653180357866,4.6040749331009,10.681241788417047,0.15375291743716027,0.45870445344129557,1.6127779264452553,2470,10878265901.78933
0.25,0.4,0.05,0.3,282.9257475250037,5.102731663500031,10.651459853924582,0.24042610635483416,0.4470850352766432,1.4899890134786855,2693,14196287376.250185
0.3,0.25,0.2,0.25,202.35072973450005,4.48413213471548,10.632523934062105,0.21612953091109013,0.5111940298507462,1.5770085100126163,1608,10167536486.725002
0.25,0.35,0.15,0.25,260.07342277676156,4.940943045451645,10.630951884176392,0.38627986209087967,0.46658206429780036,1.514705602419292,2364,13053671138.83808
0.0,0.5,0.2,0.3,236.5882485526075,4.764305634780537,10.561725262311409,0.1855222526487665,0.4508104033169996,1.5412683761550283,2653,11879412427.630375
0.0,0.55,0.2,0.25,225.62112472328377,4.677733008219502,10.313187267340702,0.19324893411624802,0.4522995058912961,1.552460855679083,2631,11331056236.164188
0.2,0.45,0.05,0.3,249.03503552873732,4.859327863157285,10.312737346295485,0.24352958954874018,0.4452231648838067,1.5138133370879352,2711,12501751776.436867
0.25,0.45,0.05,0.25,259.86523609709434,4.939425683385639,10.284108175078398,0.23617066750232,0.4408921933085502,1.4590207117083898,2690,13043261804.854717
0.4,0.25,0.15,0.2,152.22453746281957,4.008980573899552,10.270841077079973,0.16480456815874242,0.498546511627907,1.8373870363356,1376,7661226873.140979
0.3,0.3,0.2,0.2,166.67576327522212,4.1556418036618625,10.104411385701983,0.1599089386231874,0.50293542074364,1.6651127128419272,1533,8383788163.7611065
0.25,0.3,0.15,0.3,236.37364479427688,4.762637932363423,10.084899376783143,0.34748742901923346,0.47478632478632476,1.5029389837740128,2340,11868682239.713844
