value_w,momentum_w,quality_w,growth_w,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value
0.35,0.25,0.125,0.275,337.6825111610047,5.457255977402307,12.246396958003217,0.2887195172915936,0.47477477477477475,1.7497887922750874,2220,16934125558.050236
0.25,0.3,0.225,0.225,288.8666710817537,5.143332541691139,11.65374461299468,0.1893067150850157,0.5088757396449705,1.6818582687284105,1690,14493333554.087685
0.2,0.35,0.15,0.3,303.6906823869138,5.242232108180732,11.639846469140544,0.19713539817090317,0.46712662337662336,1.5787789931395066,2464,15234534119.345692
0.375,0.325,0.05,0.25,394.0352856941743,5.783461904616718,11.419484188893232,0.3880160821516018,0.4615067929188967,1.7022217969527402,2429,19751764284.708717
0.35,0.275,0.125,0.25,287.7446028754431,5.135707835910723,11.346317670509109,0.2986334530442726,0.4768331084120558,1.8022041989829443,2223,14437230143.772154
0.25,0.375,0.15,0.225,287.75489966499543,5.1357778964018515,11.213623041984354,0.2759804401867499,0.47307692307692306,1.6283540389657918,2340,14437744983.249773
0.175,0.4,0.125,0.3,294.82695666978873,5.183501204346442,11.210909065616494,0.22452317890165535,0.44641564083997104,1.46647793019675,2762,14791347833.489437
0.3,0.2,0.2,0.3,228.1011027623155,4.697554652020726,11.206013931548112,0.17583165229451686,0.49016100178890876,1.7150090497114905,1677,11455055138.115774
0.375,0.275,0.125,0.225,256.2194278339452,4.912718857823637,11.158770340326756,0.2686773151041061,0.47862453531598514,1.7169764692532348,2152,12860971391.69726
0.25,0.325,0.225,0.2,243.79787843965562,4.819746948648783,11.10507677160829,0.15179118322783133,0.5095619987661937,1.78822807273536,1621,12239893921.98278
0.225,0.4,0.075,0.3,307.5298365085568,5.267310009165138,11.069749220141645,0.23611701191582632,0.44741801733886166,1.552730274655589,2653,15426491825.42784
0.35,0.225,0.125,0.3,235.01324612171604,4.752042254799199,10.995223237994566,0.2688014757034978,0.47584320875113945,1.625011884271677,2194,11800662306.085802
0.325,0.3,0.125,0.25,282.6097251329022,5.100555820597043,10.988007953060759,0.34353974089629974,0.46174142480211083,1.6876302334011948,2274,14180486256.645111
0.375,0.225,0.1,0.3,258.69352112935417,4.9308702850465815,10.980471673014575,0.2925849057017536,0.47375565610859727,1.650854971384558,2210,12984676056.467709
0.4,0.25,0.125,0.225,249.1242587721552,4.859997282225849,10.914702213473024,0.28398541618056306,0.4819451131439576,1.6613603295591894,2077,12506212938.60776
0.3,0.325,0.2,0.175,217.36503934899307,4.610662680218061,10.903524539275123,0.193493861624089,0.4924192485168095,1.6483378256218562,1517,10918251967.449654
0.325,0.3,0.1,0.275,312.2543352361886,5.297881632511318,10.869730560698823,0.36835511188512027,0.4637742207245156,1.7346361503013636,2374,15662716761.80943
0.325,0.275,0.125,0.275,264.7593185068926,4.9748805586405656,10.805905852794075,0.3161021754030903,0.466171977302488,1.6381175924249944,2291,13287965925.344631
0.325,0.25,0.125,0.3,245.7671928339127,4.834697372466551,10.754760285655118,0.3203797890632487,0.46630968317715304,1.5908772187769762,2241,12338359641.695635
0.4,0.325,0.05,0.225,319.1462710911974,5.341921321835804,10.705782964228538,0.38795798529514236,0.4571547420965058,1.5918536783543842,2404,16007313554.55987
0.25,0.25,0.225,0.275,223.58283182791428,4.6613309120193405,10.66308828673513,0.18594508362719647,0.49419279907084784,1.7095541370523137,1722,11229141591.395714
0.25,0.4,0.05,0.3,282.9257475250037,5.102731663500031,10.651459853924582,0.24042610635483416,0.4470850352766432,1.4899890134786855,2693,14196287376.250185
0.3,0.25,0.2,0.25,202.35072973450005,4.48413213471548,10.632523934062105,0.21612953091109013,0.5111940298507462,1.5770085100126163,1608,10167536486.725002
0.25,0.35,0.15,0.25,260.07342277676156,4.940943045451645,10.630951884176392,0.38627986209087967,0.46658206429780036,1.514705602419292,2364,13053671138.83808
0.25,0.425,0.05,0.275,283.1074940124339,5.103982259003452,10.579939979459594,0.2376276290519731,0.44699777613046704,1.5381029698636375,2698,14205374700.621696
0.3,0.325,0.1,0.275,291.18245310709653,5.159005593287436,10.56296045994622,0.3344795097859169,0.4640768588137009,1.6176405932636955,2394,14609122655.354826
0.35,0.3,0.125,0.225,222.94421970074018,4.656171203404531,10.468829542056726,0.2597530831782023,0.4708803611738149,1.6615528730985338,2215,11197210985.037008
0.375,0.375,0.05,0.2,290.99476658655885,5.157738495287197,10.443830092734398,0.31092073076077725,0.4619520264681555,1.5381824043060432,2418,14599738329.327942
0.15,0.4,0.175,0.275,238.18622061495543,4.776691512625391,10.434835592578724,0.2479333206606995,0.46261682242990654,1.4213985015182704,2568,11959311030.747772
0.3,0.3,0.125,0.275,237.43222545998475,4.770854329865535,10.404158870585253,0.3455151822254602,0.46635030198446936,1.598221796691547,2318,11921611272.999237
0.225,0.325,0.175,0.275,239.29364835095657,4.78524221904824,10.375929906062733,0.36533815915138235,0.4769707705934455,1.6921288112388162,2258,12014682417.547829
