value_w,momentum_w,quality_w,growth_w,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value
0.35,0.25,0.125,0.275,350.1474643514567,5.532420892743843,12.395468229286035,0.2887195172915936,0.475011256190905,1.78017230275366,2221,17557373217.572834
0.25,0.3,0.225,0.225,308.6857575907789,5.274819072334036,12.116605544432932,0.1893067150850157,0.5091770278271166,1.8237014524099249,1689,15484287879.538944
0.2,0.35,0.15,0.3,316.52336196595786,5.325237531176042,11.831368249573394,0.19713539817090317,0.46864820846905536,1.6134707809306454,2456,15876168098.297894
0.3,0.2,0.2,0.3,251.24462506065777,4.875858299512834,11.623543877395827,0.17584740893564663,0.4919210053859964,1.8060811833091925,1671,12612231253.032888
0.175,0.4,0.125,0.3,308.5480275405619,5.273925355060765,11.419398033464121,0.22452317890165535,0.4473110465116279,1.4898941455877575,2752,15477401377.028095
0.375,0.325,0.05,0.25,392.8639128244031,5.777014651907332,11.407377660896987,0.3880160821516018,0.46115906288532676,1.6979472150809494,2433,19693195641.220154
0.25,0.375,0.15,0.225,290.86886623035394,5.156888214042022,11.263516354059169,0.2759804401867499,0.47488192357234865,1.6621190622382882,2329,14593443311.517698
0.35,0.275,0.125,0.25,276.96008282455267,5.06137633432784,11.17024636402748,0.2986334530442726,0.47601972209771404,1.759988393768255,2231,13898004141.227633
0.4,0.25,0.125,0.225,259.7687606924712,4.9387222462965035,11.088945306366332,0.28398541618056306,0.48290804044294655,1.6905253464899992,2077,13038438034.62356
0.325,0.3,0.125,0.25,286.16848713949594,5.124963682668858,11.029541830657616,0.34353974089629974,0.4619445666520018,1.6905955013128857,2273,14358424356.974798
0.25,0.325,0.225,0.2,238.5108137357318,4.779200554557664,11.02494218011891,0.15179118322783133,0.5123152709359606,1.773491241831758,1624,11975540686.78659
0.35,0.225,0.125,0.3,234.95921419764954,4.751620562443309,10.99416397047051,0.2688014757034978,0.4754322111010009,1.6237641573522146,2198,11797960709.882477
