value_w,momentum_w,quality_w,growth_w,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value
0.0,0.4,0.3,0.3,341.84825631428436,5.482581984919536,11.232897913216615,0.2326908422535468,0.44572250179726813,1.5929343039183324,2782,17142412815.714218
0.0,0.35,0.4,0.25,303.8964710103147,5.243581780175049,10.769974416601425,0.22791401851862306,0.44505494505494503,1.6204788778818047,2730,15244823550.515736
0.0,0.35,0.35,0.3,286.49522950184206,5.127194325858596,10.532221780792696,0.24719067747320836,0.4450469992769342,1.5521295653358338,2766,14374761475.092104
0.0,0.3,0.4,0.3,264.6586595407673,4.97415583084267,10.395445235910257,0.2480409663840073,0.44452635458901585,1.652293267858034,2713,13282932977.038364
0.1,0.35,0.35,0.2,243.40283781812707,4.816738085882474,9.68980604157845,0.271192922535026,0.4355783308931186,1.5803568052887387,2732,12220141890.906353
0.0,0.4,0.35,0.25,228.77175245445022,4.702889858513922,9.60081076294332,0.26873151541676604,0.4384949348769899,1.616816277016074,2764,11488587622.722511
0.05,0.4,0.25,0.3,228.8977142705779,4.703890738864402,9.488842857250912,0.2326908422535468,0.43613595706618963,1.4333019235667874,2795,11494885713.528894
0.2,0.4,0.1,0.3,212.542817509307,4.570687325303674,9.415154611490191,0.2326908422535468,0.441826748822037,1.4643075876726688,2759,10677140875.465351
0.0,0.3,0.45,0.25,203.55171707126857,4.494482521858591,9.39374538299652,0.2476494716274928,0.442214790040877,1.5581578298214966,2691,10227585853.563429
0.1,0.4,0.2,0.3,203.8177178060572,4.496769386437276,9.174548644868636,0.2326908422535468,0.4389027431421446,1.4538663947120478,2807,10240885890.30286
0.05,0.45,0.25,0.25,202.85170714407684,4.488454712393942,9.123136083687061,0.2712707004823021,0.43798177995795373,1.5041561946029145,2854,10192585357.203842
0.0,0.45,0.3,0.25,201.12289583606457,4.473507328552447,9.08697266068198,0.2712707004823021,0.44078014184397163,1.4851684769527527,2820,10106144791.803228
0.05,0.35,0.3,0.3,201.81618586889599,4.479511945449766,9.053137003658307,0.24719067747320836,0.43562928236566895,1.4693210319700118,2773,10140809293.4448
