인덱스,룩백,국면,거래일,수익률,MDD,변동성,샤프비율,매매건수,승률,손익비,평균수익,평균손실
KOSPI,20,전체,768,52.0213,0.2402,0.4155,7.1594,2876,0.5003,1.7020,4654324,2738416
KOSPI,20,상승,352,3.8649,0.2098,0.3850,5.9869,1062,0.4972,1.8423,6860282,3681821
KOSPI,20,하락,180,1.9268,0.2055,0.5208,7.8906,963,0.4933,1.3975,3138097,2185653
KOSPI,20,횡보,235,2.6533,0.2163,0.3657,8.9037,841,0.5089,1.5768,3286905,2160236
KOSPI,60,전체,768,52.0213,0.2402,0.4155,7.1594,2876,0.5003,1.7020,4654324,2738416
KOSPI,60,상승,458,6.5666,0.2063,0.3501,6.2873,1136,0.4921,1.8672,7179006,3724935
KOSPI,60,하락,162,1.4830,0.2055,0.5732,6.6523,971,0.4799,1.4599,3405589,2152566
KOSPI,60,횡보,147,1.7686,0.1906,0.3950,13.0470,759,0.5349,1.3355,2264905,1950524
KOSDAQ,20,전체,768,52.0213,0.2402,0.4155,7.1594,2876,0.5003,1.7020,4654324,2738416
KOSDAQ,20,상승,357,4.7710,0.1414,0.3696,7.1758,988,0.4980,1.8301,6501138,3523769
KOSDAQ,20,하락,214,1.2805,0.2256,0.5004,3.9116,1204,0.5025,1.3671,2821362,2084464
KOSDAQ,20,횡보,196,2.9525,0.2364,0.3907,13.5086,674,0.4955,1.7385,4832744,2730839
KOSDAQ,60,전체,768,52.0213,0.2402,0.4155,7.1594,2876,0.5003,1.7020,4654324,2738416
KOSDAQ,60,상승,443,7.3448,0.1610,0.3456,7.2701,1080,0.5065,1.8261,6306328,3544118
KOSDAQ,60,하락,237,2.4544,0.2402,0.5284,6.1672,1489,0.4950,1.3950,3043708,2138378
KOSDAQ,60,횡보,87,0.8045,0.1782,0.3921,12.5735,297,0.4949,1.9328,5624806,2851959
