날짜,현금,평가액,총자산,보유종목수,일별수익률,누적수익률,국면
2023-01-02,6202713,44588728,50791441,9,0.015829,0.015829,하락
2023-01-03,411560,52873254,53284814,10,0.049090,0.065696,하락
2023-01-04,25369,53919900,53945269,10,0.012395,0.078905,하락
2023-01-05,5978129,46646310,52624439,9,-0.024485,0.052489,하락
2023-01-06,133649,54393783,54527432,10,0.036162,0.090549,횡보
2023-01-09,-5205,56276160,56270955,10,0.031975,0.125419,상승
2023-01-10,75237,56805247,56880484,10,0.010832,0.137610,상승
2023-01-11,107135,56464489,56571624,10,-0.005430,0.131432,상승
2023-01-12,95037,53151123,53246160,10,-0.058783,0.064923,상승
2023-01-13,64195,55657510,55721705,10,0.046492,0.114434,횡보
2023-01-16,48155,55145747,55193902,10,-0.009472,0.103878,상승
2023-01-17,7162,54833050,54840212,10,-0.006408,0.096804,상승
2023-01-18,12424461,42027650,54452111,8,-0.007077,0.089042,상승
2023-01-19,41958,54629767,54671725,10,0.004033,0.093434,상승
2023-01-20,-15855,55368223,55352368,10,0.012450,0.107047,상승
2023-01-25,6400550,49698481,56099031,9,0.013489,0.121981,상승
2023-01-26,6070804,48595535,54666339,9,-0.025539,0.093327,상승
2023-01-27,6593687,51974429,58568116,9,0.071374,0.171362,상승
2023-01-30,6298558,52688137,58986695,9,0.007147,0.179734,상승
2023-01-31,12694013,48267181,60961194,8,0.033474,0.219224,상승
2023-02-01,12069945,47878263,59948208,8,-0.016617,0.198964,상승
2023-02-02,24800,60840218,60865018,9,0.015293,0.217300,상승
2023-02-03,19188,59515662,59534850,10,-0.021854,0.190697,상승
2023-02-06,8270481,51212586,59483067,9,-0.000870,0.189661,상승
2023-02-07,20935,61683015,61703950,10,0.037336,0.234079,상승
2023-02-08,61716,61090632,61152348,10,-0.008939,0.223047,상승
2023-02-09,-25025,61689328,61664303,10,0.008372,0.233286,상승
2023-02-10,7070538,52919480,59990018,9,-0.027152,0.199800,상승
2023-02-13,32688,60313865,60346553,10,0.005943,0.206931,상승
2023-02-14,68804,60470118,60538922,10,0.003188,0.210778,상승
2023-02-15,7151304,53523315,60674619,9,0.002241,0.213492,상승
2023-02-16,5497371,56888481,62385852,9,0.028203,0.247717,상승
2023-02-17,150004,63010945,63160949,10,0.012424,0.263219,상승
2023-02-20,7090743,56686763,63777506,8,0.009762,0.275550,상승
2023-02-21,8331248,56428053,64759301,8,0.015394,0.295186,상승
2023-02-22,7711207,56946426,64657633,9,-0.001570,0.293153,상승
2023-02-23,188743,65114515,65303258,10,0.009985,0.306065,상승
2023-02-24,133366,65803803,65937169,10,0.009707,0.318743,상승
2023-02-27,15767252,52374734,68141986,8,0.033438,0.362840,상승
2023-02-28,195714,70009712,70205426,10,0.030281,0.404109,상승
2023-03-02,25572,71145232,71170804,10,0.013751,0.423416,상승
2023-03-03,7592112,63626068,71218180,9,0.000666,0.424364,상승
2023-03-06,15499457,57071838,72571295,8,0.019000,0.451426,상승
2023-03-07,2387,73559080,73561467,10,0.013644,0.471229,상승
2023-03-08,16647895,58603267,75251162,8,0.022970,0.505023,상승
2023-03-09,2364,76114205,76116569,10,0.011500,0.522331,상승
2023-03-10,17360949,59021295,76382244,8,0.003490,0.527645,상승
2023-03-13,-8705,75138461,75129756,10,-0.016398,0.502595,상승
2023-03-14,15735070,56840436,72575506,8,-0.033998,0.451510,상승
2023-03-15,9022881,67490447,76513328,9,0.054258,0.530267,상승
2023-03-16,6401685,70302172,76703857,9,0.002490,0.534077,상승
2023-03-17,9104211,67332589,76436800,9,-0.003482,0.528736,상승
2023-03-20,-10295,78641495,78631200,10,0.028709,0.572624,상승
2023-03-21,9955736,70209221,80164957,9,0.019506,0.603299,상승
2023-03-22,8182761,73011349,81194110,9,0.012838,0.623882,상승
2023-03-23,9310282,71931917,81242199,9,0.000592,0.624844,상승
2023-03-24,2261,82116732,82118993,10,0.010792,0.642380,상승
2023-03-27,8415731,76595284,85011015,9,0.035217,0.700220,상승
2023-03-28,19472180,66822498,86294678,8,0.015100,0.725894,상승
2023-03-29,10561758,77055934,87617692,9,0.015331,0.752354,상승
2023-03-30,8903783,79043894,87947677,9,0.003766,0.758954,상승
2023-03-31,-14690,89220140,89205450,10,0.014301,0.784109,상승
2023-04-03,8104281,84675513,92779794,9,0.040069,0.855596,상승
2023-04-04,12642904,79050305,91693209,9,-0.011711,0.833864,상승
2023-04-05,2726,91485281,91488007,10,-0.002238,0.829760,상승
2023-04-06,3616,90894384,90898000,10,-0.006449,0.817960,상승
2023-04-07,-3152,91693903,91690751,10,0.008721,0.833815,상승
2023-04-10,5311,89575306,89580617,10,-0.023014,0.791612,상승
2023-04-11,1153,90975030,90976183,10,0.015579,0.819524,상승
2023-04-12,-6788,91598004,91591216,10,0.006760,0.831824,상승
2023-04-13,91477,92569348,92660825,10,0.011678,0.853217,상승
2023-04-14,-9009,91987542,91978533,10,-0.007363,0.839571,상승
2023-04-17,11087063,82514222,93601285,9,0.017643,0.872026,상승
2023-04-18,124437,91879704,92004141,10,-0.017063,0.840083,상승
2023-04-19,-18822,95618519,95599697,10,0.039080,0.911994,상승
2023-04-20,415177,92849052,93264229,10,-0.024430,0.865285,상승
2023-04-21,-23527,93062590,93039063,10,-0.002414,0.860781,상승
2023-04-24,30224,85005385,85035609,10,-0.086023,0.700712,상승
