날짜,종목코드,종목명,매매,수량,가격,금액,사유,손익,수익률,거래비용,국면
2023-01-02,293580,나우IB,BUY,3906,1280,4999680,"리밸런싱 매수 (1위, 66.4점)",0,0.0000,6250,하락
2023-01-02,032190,다우데이타,BUY,161,30950,4982950,"리밸런싱 매수 (2위, 65.1점)",0,0.0000,6229,하락
2023-01-02,006110,삼아알미늄,BUY,120,41650,4998000,"리밸런싱 매수 (3위, 65.0점)",0,0.0000,6248,하락
2023-01-02,071970,HD현대마린엔진,BUY,706,7080,4998480,"리밸런싱 매수 (4위, 64.8점)",0,0.0000,6248,하락
2023-01-02,004360,세방,BUY,169,29550,4993950,"리밸런싱 매수 (5위, 64.8점)",0,0.0000,6242,하락
2023-01-02,017390,서울가스,BUY,11,433000,4763000,"리밸런싱 매수 (6위, 64.2점)",0,0.0000,5954,하락
2023-01-02,010470,오리콤,BUY,316,15800,4992800,"리밸런싱 매수 (7위, 63.7점)",0,0.0000,6241,하락
2023-01-02,207760,미스터블루,BUY,1545,3235,4998075,"리밸런싱 매수 (8위, 63.1점)",0,0.0000,6248,하락
2023-01-02,091810,티웨이항공,BUY,2142,2334,4999428,"리밸런싱 매수 (9위, 63.0점)",0,0.0000,6249,하락
2023-01-02,068050,팬엔터테인먼트,BUY,954,5240,4998960,"리밸런싱 매수 (10위, 62.9점)",0,0.0000,6249,하락
2023-01-02,207760,미스터블루,SELL,1545,3882,5997690,목표 익절 도달 (20.0%),992118,0.2000,7497,하락
2023-01-03,071970,HD현대마린엔진,SELL,706,6620,4673720,[리밸런싱] 긴급 매도 (점수 64.1 < 65.0),-330602,-0.0650,5842,하락
2023-01-03,004360,세방,SELL,169,33050,5585450,[리밸런싱] 긴급 매도 (점수 64.5 < 65.0),584518,0.1184,6982,하락
2023-01-03,017390,서울가스,SELL,11,434500,4779500,[리밸런싱] 긴급 매도 (점수 63.9 < 65.0),10526,0.0035,5974,하락
2023-01-03,010470,오리콤,SELL,316,15500,4898000,[리밸런싱] 긴급 매도 (점수 63.5 < 65.0),-100922,-0.0190,6122,하락
2023-01-03,091810,티웨이항공,SELL,2142,2419,5181498,[리밸런싱] 긴급 매도 (점수 63.7 < 65.0),175593,0.0364,6477,하락
2023-01-03,068050,팬엔터테인먼트,SELL,954,5340,5094360,[리밸런싱] 긴급 매도 (점수 64.3 < 65.0),89032,0.0191,6368,하락
2023-01-03,004360,세방,BUY,162,32000,5184000,"리밸런싱 매수 (4위, 64.5점)",0,0.0000,6480,하락
2023-01-03,068050,팬엔터테인먼트,BUY,1049,4950,5192550,"리밸런싱 매수 (5위, 64.3점)",0,0.0000,6491,하락
2023-01-03,071970,HD현대마린엔진,BUY,765,6790,5194350,"리밸런싱 매수 (6위, 64.1점)",0,0.0000,6493,하락
2023-01-03,008870,금비,BUY,47,110000,5170000,"리밸런싱 매수 (7위, 64.0점)",0,0.0000,6462,하락
2023-01-03,017390,서울가스,BUY,11,436000,4796000,"리밸런싱 매수 (8위, 63.9점)",0,0.0000,5995,하락
